TaskID,ProjectID,ProjectDiscipline,Status,Description,Location,Created,Target,Actual,Delay,Priority,Overdue,RootCause,Risk,Hours,Comments,AssignedTo,TeamCapacityHours
T-1013,PRJ070,PRJ-MEP,Open,Structural Installation,Roof,05/11/2024,05/22/2024,,0.0,Medium,False,None,Medium,81.8,Completed on schedule,Suresh Kumar,40
T-1014,PRJ045,PRJ-STR,In Progress,Concrete Work,North Wing,09/16/2024,10/06/2024,,7.0,High,False,Material Delay,High,123.0,Delay of 7 day(s) associated with material delay,Meena Pillai,30
T-1015,PRJ085,PRJ-SITE,In Progress,Plumbing Work,Mechanical,07/17/2025,08/07/2025,,3.0,Medium,False,Design Revision,Low,87.7,Delay of 3 day(s) associated with design revision,Arjun Desai,40
T-1016,PRJ007,PRJ-ARC,In Progress,Plumbing Work,Mechanical,04/12/2025,05/09/2025,,-1.0,Low,False,None,Low,96.8,Completed 1 day(s) ahead of schedule,Lakshmi Iyer,40
T-1017,PRJ035,PRJ-MEP,In Progress,Painting and Finishes,Basement,06/03/2024,06/19/2024,,6.0,Medium,False,Labor Shortage,Medium,110.1,Delay of 6 day(s) associated with labor shortage,Rajan Mehta,40
T-1018,PRJ004,PRJ-SITE,Open,Painting and Finishes,Basement,02/02/2025,02/19/2025,,3.0,Low,False,Crane Breakdown,High,39.9,Delay of 3 day(s) associated with crane breakdown,Asha Verma,40
T-1019,PRJ071,PRJ-ARC,Closed,Curtain Wall Installation,Grid A5,08/15/2025,09/01/2025,08/25/2025,-7.0,High,False,None,Low,97.6,Completed 7 day(s) ahead of schedule,Dev Kapoor,40
T-1020,PRJ086,PRJ-ARC,In Progress,HVAC Installation,Roof,03/31/2024,04/06/2024,,-4.0,Medium,False,None,Medium,66.2,Completed 4 day(s) ahead of schedule,Priya Nair,40
T-1021,PRJ016,PRJ-STR,Closed,Curtain Wall Installation,Lobby,02/15/2024,02/20/2024,02/23/2024,3.0,High,True,Approval Delay,High,15.0,Delay of 3 day(s) associated with approval delay,Suresh Kumar,40
T-1022,PRJ033,PRJ-ARC,Open,Electrical Installation,Roof,10/13/2024,10/16/2024,,1.0,Medium,False,Approval Delay,Medium,15.0,Delay of 1 day(s) associated with approval delay,Meena Pillai,30
T-1023,PRJ085,PRJ-INT,Open,HVAC Installation,West Yard,04/24/2025,05/15/2025,,2.0,High,False,Design Revision,High,44.5,Delay of 2 day(s) associated with design revision,Arjun Desai,40
T-1024,PRJ005,PRJ-STR,Open,Painting and Finishes,North Wing,08/16/2024,08/30/2024,,5.0,High,False,Weather Delay,Medium,90.9,Delay of 5 day(s) associated with weather delay,Lakshmi Iyer,40
T-1025,PRJ096,PRJ-INT,In Progress,Underground Utilities,North Wing,08/22/2025,09/18/2025,,4.0,High,False,Crane Breakdown,Medium,78.4,Delay of 4 day(s) associated with crane breakdown,Rajan Mehta,40
T-1026,PRJ089,PRJ-STR,In Progress,Plumbing Work,West Yard,09/10/2025,10/02/2025,,2.0,Low,False,Weather Delay,Low,80.5,Delay of 2 day(s) associated with weather delay,Asha Verma,40
T-1027,PRJ016,PRJ-STR,Closed,Flooring Work,Mechanical,01/23/2025,01/29/2025,02/01/2025,3.0,Medium,True,Crane Breakdown,High,133.5,Delay of 3 day(s) associated with crane breakdown,Dev Kapoor,40
T-1028,PRJ014,PRJ-ARC,In Progress,Curtain Wall Installation,Roof,10/03/2024,10/08/2024,,3.0,Low,False,Site Constraint,Low,36.9,Delay of 3 day(s) associated with site constraint,Priya Nair,40
T-1029,PRJ070,PRJ-MEP,In Progress,Curtain Wall Installation,West Yard,01/31/2024,02/13/2024,,4.0,Low,False,Design Revision,Medium,74.2,Delay of 4 day(s) associated with design revision,Suresh Kumar,40
T-1030,PRJ002,PRJ-INT,In Progress,Electrical Installation,West Yard,08/22/2025,09/19/2025,,1.0,Medium,False,Equipment Failure,Medium,84.1,Delay of 1 day(s) associated with equipment failure,Meena Pillai,30
T-1031,PRJ051,PRJ-STR,Open,Painting and Finishes,Mechanical,10/15/2025,10/19/2025,,-3.0,Medium,False,None,Medium,52.9,Completed 3 day(s) ahead of schedule,Arjun Desai,40
T-1032,PRJ007,PRJ-ARC,In Progress,Concrete Work,Grid A5,11/18/2024,11/26/2024,,1.0,High,False,Labor Shortage,Medium,75.8,Delay of 1 day(s) associated with labor shortage,Lakshmi Iyer,40
T-1033,PRJ054,PRJ-ARC,In Progress,Concrete Work,West Yard,01/12/2025,01/15/2025,,-6.0,Medium,False,None,Medium,27.0,Completed 6 day(s) ahead of schedule,Rajan Mehta,40
T-1034,PRJ036,PRJ-MEP,In Progress,Structural Installation,Mechanical,07/04/2025,07/18/2025,,9.0,Medium,False,Design Revision,High,117.3,Delay of 9 day(s) associated with design revision,Asha Verma,40
T-1035,PRJ071,PRJ-STR,Open,Site Preparation,North Wing,05/22/2025,06/21/2025,,-4.0,Medium,False,None,Medium,54.6,Completed 4 day(s) ahead of schedule,Dev Kapoor,40
T-1036,PRJ089,PRJ-STR,Closed,Structural Installation,Mechanical,04/08/2024,04/30/2024,05/05/2024,5.0,Low,True,Approval Delay,Medium,135.9,Delay of 5 day(s) associated with approval delay,Priya Nair,40
T-1037,PRJ049,PRJ-STR,On Hold,Underground Utilities,Basement,05/05/2025,05/21/2025,,0.0,Low,False,None,Low,74.0,Completed on schedule,Suresh Kumar,40
T-1038,PRJ065,PRJ-STR,Open,Flooring Work,North Wing,11/05/2025,11/12/2025,,1.0,Medium,False,Crane Breakdown,Medium,105.8,Delay of 1 day(s) associated with crane breakdown,Meena Pillai,30
T-1039,PRJ061,PRJ-SITE,Closed,Curtain Wall Installation,South Facade,07/02/2025,07/14/2025,07/12/2025,-2.0,Low,False,None,Medium,73.4,Completed 2 day(s) ahead of schedule,Arjun Desai,40
T-1040,PRJ099,PRJ-INT,Closed,HVAC Installation,North Wing,12/16/2024,01/02/2025,12/30/2024,-3.0,Medium,False,None,Low,74.1,Completed 3 day(s) ahead of schedule,Lakshmi Iyer,40
T-1041,PRJ024,PRJ-ARC,In Progress,Structural Installation,North Wing,01/16/2025,01/26/2025,,4.0,Medium,False,Site Constraint,Low,57.5,Delay of 4 day(s) associated with site constraint,Rajan Mehta,40
T-1042,PRJ024,PRJ-SITE,Closed,Plumbing Work,West Yard,07/08/2024,07/30/2024,08/03/2024,4.0,High,True,Equipment Failure,Medium,78.6,Delay of 4 day(s) associated with equipment failure,Asha Verma,40
T-1043,PRJ038,PRJ-SITE,Closed,Structural Installation,West Yard,04/27/2025,05/27/2025,05/28/2025,1.0,Medium,True,Equipment Failure,Medium,84.5,Delay of 1 day(s) associated with equipment failure,Dev Kapoor,40
T-1044,PRJ074,PRJ-INT,On Hold,Underground Utilities,Basement,06/25/2024,07/03/2024,,3.0,Medium,False,Site Constraint,Medium,51.5,Delay of 3 day(s) associated with site constraint,Priya Nair,40
T-1045,PRJ087,PRJ-MEP,On Hold,Curtain Wall Installation,Mechanical,09/06/2024,09/16/2024,,3.0,High,False,Material Delay,Low,71.2,Delay of 3 day(s) associated with material delay,Suresh Kumar,40
T-1046,PRJ028,PRJ-MEP,Open,Site Preparation,South Facade,07/12/2024,07/18/2024,,-0.0,High,False,None,Low,56.7,Completed on schedule,Meena Pillai,30
T-1047,PRJ011,PRJ-STR,In Progress,Site Preparation,Mechanical,09/01/2024,09/24/2024,,-1.0,Medium,False,None,Low,144.0,Completed 1 day(s) ahead of schedule,Arjun Desai,40
T-1048,PRJ061,PRJ-ARC,In Progress,Concrete Work,West Yard,09/24/2024,10/09/2024,,1.0,Medium,False,Weather Delay,Medium,72.3,Delay of 1 day(s) associated with weather delay,Lakshmi Iyer,40
T-1049,PRJ060,PRJ-MEP,Open,Plumbing Work,Basement,03/01/2024,03/11/2024,,-0.0,Medium,False,None,High,121.4,Completed on schedule,Rajan Mehta,40
T-1050,PRJ038,PRJ-INT,In Progress,Electrical Installation,West Yard,06/07/2025,06/16/2025,,3.0,Low,False,Design Revision,Low,69.1,Delay of 3 day(s) associated with design revision,Asha Verma,40
T-1051,PRJ019,PRJ-MEP,On Hold,Curtain Wall Installation,Lobby,11/17/2024,11/21/2024,,11.0,Low,False,Site Constraint,Medium,82.8,Delay of 11 day(s) associated with site constraint,Dev Kapoor,40
T-1052,PRJ085,PRJ-ARC,Open,Painting and Finishes,Basement,11/24/2025,12/10/2025,,-3.0,Low,False,None,Low,35.4,Completed 3 day(s) ahead of schedule,Priya Nair,40
T-1053,PRJ085,PRJ-STR,In Progress,Site Preparation,Roof,05/12/2024,06/03/2024,,-7.0,High,False,None,Low,61.6,Completed 7 day(s) ahead of schedule,Suresh Kumar,40
T-1054,PRJ075,PRJ-ARC,Closed,Curtain Wall Installation,South Facade,05/03/2025,05/12/2025,05/12/2025,-0.0,Medium,False,None,Low,81.3,Completed on schedule,Meena Pillai,30
T-1055,PRJ058,PRJ-SITE,In Progress,Underground Utilities,Lobby,05/10/2024,05/13/2024,,-2.0,Medium,False,None,Low,122.6,Completed 2 day(s) ahead of schedule,Arjun Desai,40
T-1056,PRJ027,PRJ-ARC,In Progress,Painting and Finishes,South Facade,02/03/2025,02/19/2025,,-1.0,High,False,None,Medium,81.7,Completed 1 day(s) ahead of schedule,Lakshmi Iyer,40
T-1057,PRJ041,PRJ-ARC,On Hold,HVAC Installation,Roof,12/24/2024,01/14/2025,,11.0,Medium,False,Material Delay,High,116.5,Delay of 11 day(s) associated with material delay,Rajan Mehta,40
T-1058,PRJ007,PRJ-STR,In Progress,Flooring Work,West Yard,11/23/2024,12/05/2024,,1.0,Medium,False,Approval Delay,Low,94.2,Delay of 1 day(s) associated with approval delay,Asha Verma,40
T-1059,PRJ025,PRJ-ARC,Open,Underground Utilities,Lobby,04/22/2025,05/02/2025,,2.0,Low,False,Weather Delay,Medium,123.8,Delay of 2 day(s) associated with weather delay,Dev Kapoor,40
T-1060,PRJ046,PRJ-ARC,Open,Electrical Installation,Lobby,08/27/2025,09/03/2025,,-1.0,Low,False,None,Medium,73.2,Completed 1 day(s) ahead of schedule,Priya Nair,40
T-1061,PRJ044,PRJ-MEP,On Hold,HVAC Installation,Basement,08/19/2024,09/11/2024,,11.0,Medium,False,Site Constraint,High,146.7,Delay of 11 day(s) associated with site constraint,Suresh Kumar,40
T-1062,PRJ009,PRJ-MEP,In Progress,Structural Installation,South Facade,09/12/2025,10/09/2025,,-1.0,Medium,False,None,Medium,60.4,Completed 1 day(s) ahead of schedule,Meena Pillai,30
T-1063,PRJ096,PRJ-ARC,In Progress,Concrete Work,North Wing,05/14/2024,06/07/2024,,-6.0,Medium,False,None,Low,52.0,Completed 6 day(s) ahead of schedule,Arjun Desai,40
T-1064,PRJ027,PRJ-STR,Open,Underground Utilities,Mechanical,08/01/2024,08/18/2024,,-3.0,High,False,None,Medium,38.7,Completed 3 day(s) ahead of schedule,Lakshmi Iyer,40
T-1065,PRJ051,PRJ-INT,In Progress,Curtain Wall Installation,Grid A5,08/14/2024,09/06/2024,,3.0,Medium,False,Approval Delay,Low,144.9,Delay of 3 day(s) associated with approval delay,Rajan Mehta,40
T-1066,PRJ047,PRJ-ARC,On Hold,HVAC Installation,South Facade,11/26/2025,12/10/2025,,7.0,Medium,False,Weather Delay,High,99.6,Delay of 7 day(s) associated with weather delay,Asha Verma,40
T-1067,PRJ047,PRJ-SITE,In Progress,Flooring Work,North Wing,03/27/2024,03/30/2024,,-6.0,Medium,False,None,Low,65.0,Completed 6 day(s) ahead of schedule,Dev Kapoor,40
T-1068,PRJ085,PRJ-INT,On Hold,Electrical Installation,Mechanical,10/15/2024,10/28/2024,,9.0,Medium,False,Material Delay,Medium,112.5,Delay of 9 day(s) associated with material delay,Priya Nair,40
T-1069,PRJ075,PRJ-MEP,In Progress,Curtain Wall Installation,West Yard,11/05/2024,11/27/2024,,-7.0,Low,False,None,Low,95.6,Completed 7 day(s) ahead of schedule,Suresh Kumar,40
T-1070,PRJ087,PRJ-SITE,In Progress,Site Preparation,South Facade,08/07/2025,08/28/2025,,3.0,Medium,False,Approval Delay,Medium,134.0,Delay of 3 day(s) associated with approval delay,Meena Pillai,30
T-1071,PRJ038,PRJ-STR,Closed,Site Preparation,Mechanical,12/20/2024,01/19/2025,01/18/2025,-1.0,Low,False,None,High,28.6,Completed 1 day(s) ahead of schedule,Arjun Desai,40
T-1072,PRJ027,PRJ-INT,In Progress,Painting and Finishes,Mechanical,12/06/2025,01/05/2026,,1.0,Medium,False,Design Revision,Medium,67.0,Delay of 1 day(s) associated with design revision,Lakshmi Iyer,40
T-1073,PRJ043,PRJ-STR,In Progress,Flooring Work,Mechanical,06/24/2025,07/03/2025,,2.0,High,False,Crane Breakdown,Medium,61.1,Delay of 2 day(s) associated with crane breakdown,Rajan Mehta,40
T-1074,PRJ057,PRJ-INT,Closed,Site Preparation,Mechanical,05/28/2025,05/31/2025,06/04/2025,4.0,Low,True,Weather Delay,High,15.8,Delay of 4 day(s) associated with weather delay,Asha Verma,40
T-1075,PRJ034,PRJ-ARC,In Progress,Underground Utilities,North Wing,07/03/2025,07/13/2025,,4.0,Low,False,Labor Shortage,High,106.8,Delay of 4 day(s) associated with labor shortage,Dev Kapoor,40
T-1076,PRJ047,PRJ-INT,In Progress,Structural Installation,Mechanical,04/27/2024,05/24/2024,,0.0,Medium,False,None,Low,66.9,Completed on schedule,Priya Nair,40
T-1077,PRJ016,PRJ-SITE,On Hold,Painting and Finishes,North Wing,11/23/2024,12/18/2024,,6.0,Medium,False,Design Revision,Medium,97.2,Delay of 6 day(s) associated with design revision,Suresh Kumar,40
T-1078,PRJ059,PRJ-SITE,Open,Flooring Work,Mechanical,03/03/2025,03/08/2025,,-2.0,Medium,False,None,Medium,145.8,Completed 2 day(s) ahead of schedule,Meena Pillai,30
T-1079,PRJ072,PRJ-SITE,In Progress,Site Preparation,Mechanical,06/01/2024,06/08/2024,,7.0,Medium,False,Weather Delay,Medium,64.4,Delay of 7 day(s) associated with weather delay,Arjun Desai,40
T-1080,PRJ053,PRJ-ARC,Open,Painting and Finishes,Basement,03/27/2024,04/14/2024,,-7.0,High,False,None,Low,62.4,Completed 7 day(s) ahead of schedule,Lakshmi Iyer,40
T-1081,PRJ088,PRJ-ARC,In Progress,Electrical Installation,Basement,04/09/2024,04/30/2024,,0.0,Medium,False,None,Low,78.6,Completed on schedule,Rajan Mehta,40
T-1082,PRJ100,PRJ-MEP,Open,Underground Utilities,South Facade,07/30/2025,08/29/2025,,6.0,Medium,False,Site Constraint,High,104.6,Delay of 6 day(s) associated with site constraint,Asha Verma,40
T-1083,PRJ091,PRJ-SITE,Closed,HVAC Installation,Mechanical,04/24/2025,05/18/2025,05/20/2025,2.0,High,True,Crane Breakdown,High,58.0,Delay of 2 day(s) associated with crane breakdown,Dev Kapoor,40
T-1084,PRJ010,PRJ-STR,Open,Flooring Work,North Wing,07/24/2024,08/01/2024,,1.0,Low,False,Crane Breakdown,High,56.1,Delay of 1 day(s) associated with crane breakdown,Priya Nair,40
T-1085,PRJ089,PRJ-ARC,Closed,Concrete Work,Grid A5,06/22/2025,06/26/2025,07/04/2025,8.0,Low,True,Material Delay,High,106.7,Delay of 8 day(s) associated with material delay,Suresh Kumar,40
T-1086,PRJ034,PRJ-STR,In Progress,HVAC Installation,South Facade,05/22/2025,06/11/2025,,-2.0,Low,False,None,Medium,86.4,Completed 2 day(s) ahead of schedule,Meena Pillai,30
T-1087,PRJ046,PRJ-INT,In Progress,Structural Installation,West Yard,08/19/2025,09/06/2025,,-2.0,Medium,False,None,Medium,15.0,Completed 2 day(s) ahead of schedule,Arjun Desai,40
T-1088,PRJ042,PRJ-INT,In Progress,Curtain Wall Installation,North Wing,10/26/2025,11/23/2025,,-2.0,Medium,False,None,Medium,38.2,Completed 2 day(s) ahead of schedule,Lakshmi Iyer,40
T-1089,PRJ029,PRJ-ARC,Closed,Curtain Wall Installation,Grid A5,10/06/2025,10/25/2025,10/26/2025,1.0,Low,True,Crane Breakdown,Medium,120.0,Delay of 1 day(s) associated with crane breakdown,Rajan Mehta,40
T-1090,PRJ088,PRJ-ARC,In Progress,Plumbing Work,Grid A5,05/12/2024,05/29/2024,,3.0,Medium,False,Crane Breakdown,Medium,87.1,Delay of 3 day(s) associated with crane breakdown,Asha Verma,40
T-1091,PRJ064,PRJ-STR,In Progress,Electrical Installation,Mechanical,07/15/2025,07/26/2025,,2.0,Low,False,Design Revision,Low,52.1,Delay of 2 day(s) associated with design revision,Dev Kapoor,40
T-1092,PRJ097,PRJ-ARC,Closed,Structural Installation,Grid A5,10/13/2024,10/18/2024,10/16/2024,-2.0,Medium,False,None,Medium,69.9,Completed 2 day(s) ahead of schedule,Priya Nair,40
T-1093,PRJ096,PRJ-INT,In Progress,Curtain Wall Installation,West Yard,10/21/2024,11/17/2024,,1.0,Medium,False,Crane Breakdown,Low,75.4,Delay of 1 day(s) associated with crane breakdown,Suresh Kumar,40
T-1094,PRJ042,PRJ-STR,Open,Plumbing Work,Basement,04/17/2025,05/13/2025,,-1.0,Medium,False,None,Low,97.1,Completed 1 day(s) ahead of schedule,Meena Pillai,30
T-1095,PRJ073,PRJ-MEP,On Hold,Underground Utilities,Mechanical,03/15/2025,03/22/2025,,-1.0,Medium,False,None,Medium,34.3,Completed 1 day(s) ahead of schedule,Arjun Desai,40
T-1096,PRJ051,PRJ-MEP,In Progress,Electrical Installation,South Facade,11/02/2024,11/24/2024,,-1.0,Medium,False,None,Medium,49.8,Completed 1 day(s) ahead of schedule,Lakshmi Iyer,40
T-1097,PRJ050,PRJ-INT,Open,HVAC Installation,Lobby,12/30/2025,01/12/2026,,-3.0,Medium,False,None,Low,83.2,Completed 3 day(s) ahead of schedule,Rajan Mehta,40
T-1098,PRJ074,PRJ-INT,In Progress,Curtain Wall Installation,Grid A5,05/07/2024,05/22/2024,,3.0,Low,False,Approval Delay,High,72.0,Delay of 3 day(s) associated with approval delay,Asha Verma,40
T-1099,PRJ069,PRJ-SITE,Open,Painting and Finishes,North Wing,03/11/2024,04/06/2024,,6.0,Low,False,Crane Breakdown,High,92.2,Delay of 6 day(s) associated with crane breakdown,Dev Kapoor,40
T-1100,PRJ092,PRJ-INT,Open,Structural Installation,Mechanical,01/22/2024,02/17/2024,,-4.0,High,False,None,Low,38.1,Completed 4 day(s) ahead of schedule,Priya Nair,40
T-1101,PRJ078,PRJ-SITE,Closed,Structural Installation,West Yard,08/17/2025,08/25/2025,08/18/2025,-7.0,High,False,None,Low,85.7,Completed 7 day(s) ahead of schedule,Suresh Kumar,40
T-1102,PRJ063,PRJ-SITE,Open,Flooring Work,North Wing,10/23/2024,11/03/2024,,-6.0,Medium,False,None,Low,107.7,Completed 6 day(s) ahead of schedule,Meena Pillai,30
T-1103,PRJ092,PRJ-INT,Closed,Painting and Finishes,Roof,11/15/2024,12/10/2024,12/12/2024,2.0,Medium,True,Labor Shortage,Medium,89.6,Delay of 2 day(s) associated with labor shortage,Arjun Desai,40
T-1104,PRJ011,PRJ-MEP,On Hold,Electrical Installation,Lobby,04/18/2025,05/16/2025,,4.0,High,False,Equipment Failure,High,79.2,Delay of 4 day(s) associated with equipment failure,Lakshmi Iyer,40
T-1105,PRJ077,PRJ-ARC,Closed,Site Preparation,West Yard,11/13/2024,11/18/2024,11/15/2024,-3.0,High,False,None,Low,72.1,Completed 3 day(s) ahead of schedule,Rajan Mehta,40
T-1106,PRJ040,PRJ-MEP,Closed,Flooring Work,Basement,02/23/2025,03/21/2025,03/22/2025,1.0,Medium,True,Equipment Failure,Medium,50.0,Delay of 1 day(s) associated with equipment failure,Asha Verma,40
T-1107,PRJ044,PRJ-MEP,Closed,Electrical Installation,South Facade,02/12/2024,02/28/2024,02/21/2024,-7.0,Medium,False,None,Low,72.8,Completed 7 day(s) ahead of schedule,Dev Kapoor,40
T-1108,PRJ079,PRJ-INT,On Hold,Painting and Finishes,Grid A5,04/24/2024,05/13/2024,,-1.0,Medium,False,None,Low,112.8,Completed 1 day(s) ahead of schedule,Priya Nair,40
T-1109,PRJ028,PRJ-STR,In Progress,Underground Utilities,Mechanical,11/11/2025,11/16/2025,,10.0,Low,False,Equipment Failure,High,71.4,Delay of 10 day(s) associated with equipment failure,Suresh Kumar,40
T-1110,PRJ089,PRJ-STR,Open,Concrete Work,Roof,11/25/2024,12/17/2024,,-3.0,High,False,None,Low,48.3,Completed 3 day(s) ahead of schedule,Meena Pillai,30
T-1111,PRJ050,PRJ-INT,In Progress,Curtain Wall Installation,Roof,05/02/2024,05/23/2024,,-3.0,Medium,False,None,Low,60.2,Completed 3 day(s) ahead of schedule,Arjun Desai,40
T-1112,PRJ035,PRJ-ARC,In Progress,Concrete Work,Mechanical,09/26/2024,10/17/2024,,-1.0,Low,False,None,Medium,81.0,Completed 1 day(s) ahead of schedule,Lakshmi Iyer,40
T-1113,PRJ033,PRJ-INT,Open,Plumbing Work,Lobby,09/01/2024,09/26/2024,,-2.0,Medium,False,None,Medium,63.8,Completed 2 day(s) ahead of schedule,Rajan Mehta,40
T-1114,PRJ043,PRJ-STR,Closed,HVAC Installation,Mechanical,07/19/2024,08/17/2024,08/17/2024,-0.0,Medium,False,None,High,89.6,Completed on schedule,Asha Verma,40
T-1115,PRJ095,PRJ-INT,Open,Painting and Finishes,Lobby,08/02/2024,08/28/2024,,8.0,Low,False,Weather Delay,High,90.7,Delay of 8 day(s) associated with weather delay,Dev Kapoor,40
T-1116,PRJ011,PRJ-MEP,On Hold,Structural Installation,North Wing,06/16/2025,07/09/2025,,-1.0,High,False,None,Low,101.7,Completed 1 day(s) ahead of schedule,Priya Nair,40
T-1117,PRJ051,PRJ-INT,In Progress,HVAC Installation,Roof,03/18/2024,04/17/2024,,4.0,High,False,Site Constraint,Low,117.7,Delay of 4 day(s) associated with site constraint,Suresh Kumar,40
T-1118,PRJ084,PRJ-INT,Open,Curtain Wall Installation,Grid A5,08/14/2024,09/04/2024,,0.0,Medium,False,None,Medium,104.9,Completed on schedule,Meena Pillai,30
T-1119,PRJ048,PRJ-STR,Open,Flooring Work,North Wing,12/07/2024,12/28/2024,,-7.0,Medium,False,None,Low,47.0,Completed 7 day(s) ahead of schedule,Arjun Desai,40
T-1120,PRJ057,PRJ-INT,Open,Electrical Installation,Roof,01/29/2025,02/16/2025,,1.0,Medium,False,Crane Breakdown,High,47.9,Delay of 1 day(s) associated with crane breakdown,Lakshmi Iyer,40
T-1121,PRJ035,PRJ-INT,In Progress,Underground Utilities,West Yard,10/04/2025,10/28/2025,,-7.0,Medium,False,None,Medium,72.7,Completed 7 day(s) ahead of schedule,Rajan Mehta,40
T-1122,PRJ014,PRJ-SITE,Open,Plumbing Work,Roof,11/04/2025,11/08/2025,,-3.0,Medium,False,None,Low,61.5,Completed 3 day(s) ahead of schedule,Asha Verma,40
T-1123,PRJ064,PRJ-SITE,In Progress,Plumbing Work,Grid A5,08/05/2024,08/22/2024,,3.0,Low,False,Crane Breakdown,High,40.9,Delay of 3 day(s) associated with crane breakdown,Dev Kapoor,40
T-1124,PRJ092,PRJ-INT,Open,Plumbing Work,North Wing,01/28/2025,02/11/2025,,-0.0,Medium,False,None,Low,61.7,Completed on schedule,Priya Nair,40
T-1125,PRJ053,PRJ-STR,In Progress,Concrete Work,Lobby,01/17/2024,02/14/2024,,-5.0,Low,False,None,Medium,60.8,Completed 5 day(s) ahead of schedule,Suresh Kumar,40
T-1126,PRJ044,PRJ-STR,In Progress,Curtain Wall Installation,Basement,03/26/2025,03/31/2025,,4.0,Medium,False,Approval Delay,Medium,54.8,Delay of 4 day(s) associated with approval delay,Meena Pillai,30
T-1127,PRJ013,PRJ-INT,In Progress,Concrete Work,South Facade,04/21/2024,05/12/2024,,3.0,Medium,False,Crane Breakdown,Medium,65.5,Delay of 3 day(s) associated with crane breakdown,Arjun Desai,40
T-1128,PRJ095,PRJ-MEP,In Progress,Underground Utilities,Grid A5,02/23/2024,03/02/2024,,8.0,Low,False,Design Revision,Medium,110.4,Delay of 8 day(s) associated with design revision,Lakshmi Iyer,40
T-1129,PRJ087,PRJ-MEP,Open,Painting and Finishes,North Wing,05/05/2025,06/01/2025,,1.0,Low,False,Design Revision,Medium,81.0,Delay of 1 day(s) associated with design revision,Rajan Mehta,40
T-1130,PRJ091,PRJ-INT,Open,Painting and Finishes,North Wing,05/10/2024,06/05/2024,,10.0,Medium,False,Crane Breakdown,High,149.2,Delay of 10 day(s) associated with crane breakdown,Asha Verma,40
T-1131,PRJ036,PRJ-INT,Open,Structural Installation,South Facade,12/14/2024,12/23/2024,,-0.0,Low,False,None,High,80.1,Completed on schedule,Dev Kapoor,40
T-1132,PRJ063,PRJ-INT,Closed,Site Preparation,Mechanical,03/14/2024,04/10/2024,04/11/2024,1.0,High,True,Crane Breakdown,Medium,66.3,Delay of 1 day(s) associated with crane breakdown,Priya Nair,40
T-1133,PRJ044,PRJ-MEP,On Hold,Painting and Finishes,Grid A5,06/28/2025,07/14/2025,,-1.0,Medium,False,None,Low,75.1,Completed 1 day(s) ahead of schedule,Suresh Kumar,40
